"任务名","视频标题","线索","命中词","咨询时间","挖掘时间","@次数","状态","年龄","性别","省","市"
"星座","你相信星座么？如果不相信，可以看完这个视频，学会向下兼容。","那莫小其的明星预言呢，这个怎么解释[捂脸]","怎么","2023-02-20 12:12:47","2023-03-08 18:23:15","0","未联系","21","--","","四川"
"星座","你相信星座么？如果不相信，可以看完这个视频，学会向下兼容。","@[已脱敏] 怎么会有人信星座[晕]","怎么","2023-03-06 12:16:55","2023-03-08 18:23:14","0","未联系","0","--","","河南"
"星座","不就是背课文吗，我有一百种方法😏#星座狗 #搞笑 #轻漫计划 ","这字怎么在哈小浪的身体啊[灵机一动]","怎么","2023-03-06 17:08:50","2023-03-08 18:23:14","0","未联系","12","--","","山东"
"星座","聪明却不爱学习的三大星座，有你吗？#抖音原创动漫 #轻漫计划 #十二星座","我本来很喜欢数学啊。因为我是水瓶座。","喜欢","2020-10-20 18:15:29","2023-03-08 18:23:12","0","未联系","23","--","",""
"星座","十二星座的考试成绩","怎么没有一个天蝎座？天蝎座第几名？考第多少分？","怎么","2021-03-30 16:55:36","2023-03-08 18:23:12","0","未联系","0","--","",""
"星座","聪明却不爱学习的三大星座，有你吗？#抖音原创动漫 #轻漫计划 #十二星座","水瓶表示：每每想干一件事，另一个更有趣的事就在这时候出来，所以除了做最感兴趣的事，不然很难专心[偷笑]","感兴趣","2020-08-17 14:46:38","2023-03-08 18:23:11","0","未联系","18","--","",""
"星座","十二星座的考试成绩","怎么成绩好的都排到最后面去了？","怎么","2021-07-14 14:46:40","2023-03-08 18:23:11","0","未联系","34","--","",""
"星座","聪明却不爱学习的三大星座，有你吗？#抖音原创动漫 #轻漫计划 #十二星座","我是水瓶，你怎么知道我的思想飞了，我都在想一些事情[可爱][呲牙]","怎么","2020-08-06 16:53:07","2023-03-08 18:23:11","0","未联系","12","--","",""
"星座","简笔画最有可能成为学霸的三大星座  #简笔画 #手绘 #星座 #学霸 #萌知计划 #抖出知识点 @抖音青少年","我同学是学渣，因为他是射手座，他每次都不喜欢谁？","喜欢","2022-12-19 09:22:40","2023-03-08 18:23:08","0","未联系","0","--","",""
"星座","#星盘干货 星盘看学业！宝妈也要注意！","那高中的学业怎么看[泣不成声]","怎么","2023-01-26 22:01:42","2023-03-08 18:23:07","0","未联系","17","--","",""
